Ansökningsnummer;Personnr eller samordningsnr;Svenskt ID-begrepp;Förnamn;Efternamn;Födelsedatum;Kön;Mobil;Telefon;E-post;Gatuadress 1;Gatuadress 2;Postnummer;Ort;Land;Anteckning;Prio;Registrerad;Inlämnad;Inlämnad före sista ansökningsdag;Behörig;20-procentsregeln;Motivering till 20-procentsregeln;Inlämningsstatus;Antagningsstatus;Studieort;Erbjuden plats datum;Sista svarsdag;Svar;Plats förlorad datum;Antagen till andra utbildningar;Tackat ja till andra utbildningar;Studerande på andra utbildningar;Urvalsvärde;Utslagsvärde vid lika;Lottningsordning;Reservnr;1 § 1 p. Gymnasieexamen;Notering 1 § 1 p. Gymnasieexamen;1 § 2 p. Motsvarande gymnasieexamen;Notering 1 § 2 p. Motsvarande gymnasieexamen;1 § 3 p. Behörig i Norden;Notering 1 § 3 p. Behörig i Norden;1 § 4 p. Annan omständighet;Notering 1 § 4 p. Annan omständighet;2 § Kunskaper i svenska;Notering 2 § Kunskaper i svenska;Engelska 6;Notering Engelska 6;Matematik 2;Notering Matematik 2;Programmering 1;Notering Programmering 1;Urvalsprov;Notering Urvalsprov
ABCDEFG1;440104-3759;Personnummer;Estrellita;Farahar;1966-05-21;Man;5251342099;2377367531;efarahar0@reference.com;Testvägen 7;;12345;Uppsala;Sverige;;1;2025-04-15 11:38:28;2025-04-15 12:58:23;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-08-14 09:48:55;;Inskriven;;0;0;0;0,897;;1;;;;Ja;;;;;;Ja;;Ja;;Ja;;Ja;;0,897;
AB5D1E2F;950310-4888;Personnummer;Beret;Forsyde;1962-09-13;Kvinna;8044523419;;bforsyde1@hhs.gov;Testvägen 2;;12345;Iggesund;Sverige;;1;2025-08-11 23:11:05;2025-08-11 23:12:47;2025-08-13;Ja;Nej;;Inlämnad;Erbjuden plats;Hudiksvall;2025-08-14 09:48:56;;Inskriven;;0;0;0;;;3;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;;
ABCDEFG2;021023-8614;Personnummer;Robenia;Astbury;1974-10-23;Man;6372282985;;rastbury2@slate.com;Testvägen 6;;12345;Gävle;Sverige;;1;2025-02-19 20:19:18;2025-03-15 12:30:29;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Hudiksvall;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,821;;2;;;;Ja;;;;;;Ja;;Ja;;Ja;;Ja;;0,821;
1HCD1E2F;761207-7185;Personnummer;Revkah;Ellice;1973-05-28;Man;5968266123;;rellice3@prnewswire.com;Testvägen 5;;12345;Sundsvall;Sverige;;1;2025-08-08 10:13:04;2025-08-08 10:16:53;2025-08-08 10:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Sundsvall;2025-08-08 16:20:27;;Inskriven;;0;0;0;;;;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;;
ABCDEFG2;851003-1738;Personnummer;Rab;Daykin;2014-11-17;Man;1605102393;2967253657;rdaykin4@salon.com;Testvägen 1;;12345;Hudiksvall;Sverige;Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.;1;2025-08-19 02:10:54;2025-08-19 02:14:26;2025-08-19 12:59:59;Ja;Ja;Bedömer att XXX kommer att klara utbildningen/ JN;Inlämnad;Erbjuden plats;Sundsvall;2025-08-19 13:48:57;;Inskriven;;0;0;0;;;;;;;;;;;Ja;Bedömer att XXX kommer att klara utbildningen;Ja;;Ja;;Ja;Annan behörighet;Ja;Reell kompetens;;
AB5D1E2F;830827-5935;Personnummer;Ulric;Siseland;2021-07-18;Man;4366503487;;usiseland5@microsoft.com;Testvägen 5;;12345;Delsbo;Sverige;Suspendisse ornare consequat lectus.;1;2025-03-30 18:38:41;2025-03-30 18:49:05;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-06-26 03:13:06;;Inskriven;;0;0;0;;;2;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;;
ABCDEFG3;440104-3760;Personnummer;Aretha;Daniels;1973-10-21;Man;6765373241;;adaniels6@wix.com;Testvägen 2;;12345;Delsbo;Sverige;;1;2025-02-21 08:27:52;2025-02-24 14:43:45;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,59;;;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;0,59;
1HCD1E2F;950310-4889;Personnummer;Hyacinthia;Forrestill;1971-07-18;Kvinna;8581265784;;hforrestill7@mapy.cz;Testvägen 1;;12345;Delsbo;Sverige;;1;2025-02-12 13:02:18;2025-02-13 00:59:12;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,923;;3;;Nej;;Ja;;Nej;;Nej;;Ja;;Ja;;Ja;;Ja;Kunskapsprov 2025;0,923;Kunskapsprov 2025
ABCDEFG3;021023-8615;Personnummer;Julietta;Mitskevich;1947-04-08;Man;1655200514;1448718400;jmitskevich8@bigcartel.com;Testvägen 6;;12345;Forsa;Sverige;Vestibulum sed magna at nunc commodo placerat.;1;2025-05-11 13:47:17;2025-05-11 15:31:06;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-06-26 03:13:06;;Inskriven;;0;0;0;;;1;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;;
AB5D1E2F;761207-7186;Personnummer;Norrie;Duffree;1969-05-16;Man;1344160347;;nduffree9@tmall.com;Testvägen 5;;12345;Uppsala;Sverige;;1;2025-02-03 12:02:11;2025-02-03 12:04:17;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Sundsvall;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,846;;1;;Ja;;Nej;;Nej;;Nej;;Ja;;Ja;;Ja;;Ja;;0,846;
ABCDEFG4;851003-1739;Personnummer;Dyanne;Emmines;1962-04-07;Man;5801843106;;demminesa@moonfruit.com;Testvägen 2;;12345;Sundsvall;Sverige;;1;2025-09-03 08:56:21;2025-09-03 09:03:53;2025-09-03 09:59:59;Ja;Ja;Bedömer att XXX kommer att klara utbildningen;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-09-03 11:24:16;;Inskriven;;0;0;0;;;;;;;;;;;Ja;Bedömer att XXX kommer att klara utbildningen;Ja;;Ja;;Ja;;Ja;;;
1HCD1E2F;830827-5936;Personnummer;Paddy;Megarry;1993-03-05;Kvinna;5145437573;;pmegarryb@slate.com;Testvägen 5;;12345;Sundsvall;Sverige;;1;2025-03-12 09:21:00;2025-03-13 15:54:06;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-07-05 02:53:29;;Inskriven;;0;0;0;;;4;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;;
ABCDEFG4;440104-3761;Personnummer;Andras;Shimoni;1955-07-10;Man;6934382184;;ashimonic@cisco.com;Testvägen 2;;12345;Delsbo;Sverige;;1;2025-05-03 12:39:22;2025-05-03 12:49:59;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Hudiksvall;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,923;;1;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;0,923;
AB5D1E2F;950310-4890;Personnummer;Josy;Shelper;1956-09-29;Man;8607292406;;jshelperd@telegraph.co.uk;Testvägen 2;;12345;Gävle;Sverige;;1;2025-02-03 17:18:42;2025-02-12 01:22:18;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,744;;2;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;0,744;
ABCDEFG5;021023-8616;Personnummer;Shea;Ferencz;2023-04-26;Man;8388308114;;sferencze@home.pl;Testvägen 1;;12345;Hudiksvall;Sverige;;1;2025-05-07 17:54:50;2025-05-07 18:16:52;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,641;;1;;Nej;;Ja;;Nej;;Nej;;Ja;;Ja;;Ja;;Ja;;0,641;
1HCD1E2F;761207-7187;Personnummer;Thorndike;Renish;1968-03-30;Man;1201205536;;trenishf@shutterfly.com;Testvägen 5;Testvägen 5;12345;Uppsala;Sverige;;1;2025-09-02 20:17:22;2025-09-02 20:21:53;2025-09-02;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-09-03 07:34:41;;Inskriven;;0;0;0;;;;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;;
ABCDEFG5;851003-1740;Personnummer;Zerk;Duffin;1996-05-08;Kvinna;1274459606;;zduffing@ucoz.com;Testvägen 1;;12345;Nyköping;Sverige;;1;2025-03-31 22:52:08;2025-03-31 23:18:46;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Hudiksvall;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,897;;2;;Ja;;;;;;;;Ja;;Ja;;Ja;reell kompetens;Ja;;0,897;
AB5D1E2F;830827-5937;Personnummer;April;Smalley;2009-05-21;Kvinna;1612235053;;asmalleyh@craigslist.org;Testvägen 2;;12345;Delsbo;Sverige;;1;2025-03-27 19:23:49;2025-04-02 11:51:00;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Örnsköldsvik;2025-06-19 12:02:03;;Inskriven;;0;0;0;0,667;;;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;0,667;
ABCDEFG6;440104-3762;Personnummer;Waiter;Parkyn;2018-09-30;Kvinna;1482757429;;wparkyni@cnbc.com;Testvägen 2;;12345;Örnsköldsvik;Sverige;;1;2025-04-13 13:32:53;2025-04-13 13:38:04;2025-05-13 00:59:59;Ja;Nej;;Inlämnad;Erbjuden plats;Sundsvall;2025-06-27 03:06:01;;Inskriven;;0;0;0;;;3;;Ja;;;;;;;;Ja;;Ja;;Ja;;Ja;;;
